id_cliente,nome,cidade,idade,data_cadastro
1,Emanuel Cirino,Sobradinho,41,2023-09-26
2,Apollo Cavalcanti,Sobradinho,29,2024-05-04
3,Henry Gabriel Cunha,Ceilândia,21,2024-08-23
4,Davi Aparecida,Taguatinga,35,2024-01-16
5,Dante Rios,Ceilândia,52,2024-02-01
6,Dra. Brenda Guerra,Sobradinho,34,2025-12-31
7,Sr. Enzo Gabriel Sampaio,Brasília,34,2024-09-20
8,Valentim Fogaça,Ceilândia,59,2023-11-01
9,Srta. Lavínia Camargo,Sobradinho,59,2023-12-25
10,Dr. Danilo da Cunha,Gama,44,2025-05-02
11,Marina Novais,Gama,20,2025-07-22
12,Ravy Pastor,Sobradinho,38,2025-05-31
13,Stephany Cardoso,Gama,43,2026-03-31
14,Heitor Mendonça,Ceilândia,36,2023-10-25
15,José Miguel Cirino,Sobradinho,31,2025-02-16
16,,Ceilândia,54,2025-12-25
17,José Pedro Viana,Brasília,22,2025-09-10
18,Anthony da Mata,Gama,26,2024-03-28
19,Srta. Rafaela Mendes,Taguatinga,53,2025-04-13
20,Bianca da Rosa,Brasília,53,2024-01-26
21,Luigi Câmara,Ceilândia,60,2024-11-15
22,Ana Rios,Águas Claras,35,2023-08-15
23,Maria Eduarda Nunes,Sobradinho,31,2025-05-31
24,Dra. Rafaela Martins,Águas Claras,22,2025-07-15
25,Luna da Mata,Águas Claras,32,2023-07-01
26,Dr. Vinicius da Rocha,Taguatinga,31,2025-12-24
27,Pedro Miguel Fonseca,Sobradinho,30,2026-01-27
28,Dr. Igor Marques,Ceilândia,18,2026-04-23
29,Manuella Martins,Taguatinga,57,2025-01-09
30,André das Neves,Taguatinga,29,2026-04-27
31,Maria Flor Cirino,Taguatinga,28,2023-06-27
32,Luiz Henrique Peixoto,Águas Claras,22,2025-12-22
33,Yan da Luz,Águas Claras,22,2024-07-30
34,Isaac Viana,Ceilândia,56,2023-08-08
35,Ester Novais,Águas Claras,18,2024-05-07
36,Sr. Calebe Martins,Águas Claras,43,2025-07-24
37,Marina Vieira,Taguatinga,41,2024-11-08
38,Alexandre da Rocha,Ceilândia,28,2025-03-16
39,Ágatha Moura,Águas Claras,47,2025-05-22
40,Kaique Martins,Taguatinga,58,2024-03-22
41,Miguel Siqueira,Gama,42,2024-07-23
42,Luiz Miguel Costela,Ceilândia,54,2023-05-29
43,Caroline Fonseca,Sobradinho,53,2024-11-10
